Дата проведения аукциона,Регистрационный номер выпуска,Дата расчетов по аукциону,Дата погашения облигаций,Номинал,Средневзвешенная цена (% от номинала),Размещенный объем по номиналу (млн руб.),Размещенный объем по ценам заявок (млн руб.)
04.09.2019,4-10-22BR1-7,05.09.2019,12.09.2019,1000,999.950,"25 142,1","24 272,9"
28.08.2019,4-10-22BR1-7,29.08.2019,12.09.2019,1000,999.910,"25 170,0","25 572,7"
21.08.2019,4-10-22BR1-7,22.08.2019,12.09.2019,1000,999.860,"58 833,6","59 690,2"
14.08.2019,4-10-22BR1-7,15.08.2019,12.09.2019,1000,999.833,"95 285,6","96 538,0"
07.08.2019,4-10-22BR1-7,08.08.2019,12.09.2019,1000,999.760,"59 957,2","64 734,7"
31.07.2019,4-10-22BR1-7,01.08.2019,12.09.2019,1000,999.720,450,"454,6"
24.07.2019,4-10-22BR1-7,25.07.2019,12.09.2019,1000,999.670,"35 589,6","35 903,1"
17.07.2019,4-10-22BR1-7,18.07.2019,12.09.2019,1000,999.637,"6 918,1","6 969,2"
10.07.2019,4-10-22BR1-7,11.07.2019,12.09.2019,1000,999.581,"101 939,1","102 544,8"
03.07.2019,4-10-22BR1-7,04.07.2019,12.09.2019,1000,999.531,"119 302,6","122 659,2"
26.06.2019,4-10-22BR1-7,27.06.2019,12.09.2019,1000,999.485,"3 450,0","3 460,6"
19.06.2019,4-10-22BR1-7,20.06.2019,12.09.2019,1000,999.470,"81 213,7","80 211,9"
09.06.2019,4-10-22BR1-7,13.06.2019,12.09.2019,1000,999.409,"88 166,1","87 223,7"
